,13.40-15.10,Дискретная математика Зубков Максим Витальевич в ауд.108 к.2,,,,,,,,,,,,,,,,,"Курс по выбору:  "" Анализ данных "" Новиков П.А.""(пр.) 1310  ( 6.10- в1508 )  "" Вычислительные эмоции"" Таланов М.О.1309 (пр.) гр.1",,,,,,,,,,,,Теория систем и системный анализ Каюмова А.В. 1308 ,,,Теория информации и кодирования Малахов М.А.1306,,,,,,,13.40-15.10,,,
,15.20-16.50,,,,,,,,,,,,,,,,,,"Проектный практикум (9н.) Бажанов В.А.1304 , Основы разработки на Unity 3D Евстафьев М.Е.1408",,,,,,,,,,,,,,,Теория систем и системный анализ Каюмова А.В. 1308 ,,,,,,,15.20-16.50,,,
,17.00-18.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00-18.30,,,
,,,,,,,,,,,,,,,,,,,Основы разработки на Unity3D Евстафьев М.Е. 1408,,,,,,,,"Функциональное программирование Зиятдинов М.Т. 1307, Разработка API Бажанов В.А.1304",,,,,,,,,Методы анализа и построения информационных систем Фахрутдинов Р.Х. 1311 ( 22.09- занятий не будет с переносом см. рас.),,Академическая коммуникация Макаев Х.Ф.ч.н. 1306 ( с 4 недели с 22.09 17г.),Оценки и анализ требований разработки программного обеспечения Абрамский М.М.  1409 .(17.30),,,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,,,,"Функциональное программирование Зиятдинов М.Т. 1307, Разработка API Бажанов В.А.1304",,,,,,,,Методы анализа и построения информационных систем Таланов М.О.1404 (в18.00),Методы анализа и построения информационных систем Фахрутдинов Р.Х. 1311 ( 22.09- занятий не будет с переносом см. рас.),,,,,18.40-20.10,,,
,20.20-21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.20-21.50,,,
суббота,08.30-10.00,,,,,,,,,,,,,,,,,,,,Управление качеством разработки информационных систем  Басырова А.Р.1509 ,Операционные системы Бубнов Д.В.1306,,,,,Системы управления хранилищами данных Якупов А.Ш1302.,,,,,,,,,,,,,,08.30-10.00,суббота,,
,10.10-11.40,,,,Информатика  Камалов 1412  у гр.Зулькарнаев не будет ,,,,,,,,,,,,,,,,БЖД Зверев А.А. н.н. 1509,,Параллельное программирование Спиридонов 1409,,,,,,,,,,,,,,,,,,10.10-11.40,,,
,11.50-13.20,,,"Информатика 
Камалов 1302",,,,,,,,,,,,,,,,,,БЖД Зверев А.А. н.н. 1509,БЖД Зверев А.А.ч.н. 1509,,,,,,,,,,,,,,,,,,11.50-13.20,,,
,13.35-15.05,Информатика Хабибуллин И.Ш.аудит.     108 2к н.н.,,,,,,,,,,,,,,,,,,,,Параллельное прграммирование Спиридонов 1409,,,,,,,,,,,,,,,,,,,13.35-15.05,,,
,15.20-16.50,Иностранный язык (Англ.яз )Баранова 1305Мухаметдинова 1404 Саляхова1405 Хакимзянова1509 Ладнер 1306 Шпаков 1408 Айбятова 1409 Данилова 1412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.20-16.50,,,
,17.00-18.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.00-18.30,,,
,18.40-20.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.40-20.10,,,
,20.20-21.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.20-21.50,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
